,Fieldnr,code,Dominant,Evenness,Drought,Block,Sampling,Ao,Dg,Lh,Ra,Moist,Resp,NEE,Photo,CH4,N2O,X16S_ngDNA,nirS_ngDNA,nirK_ngDNA,nosZI_ngDNA,nosZII_ngDNA,AOA_ngDNA,AOB_ngDNA
H05B,40,LLD,Leontodon,Low,1,3,2,NA,NA,NA,NA,4.9,133.852426,39.4113117,-94.4411143,-0.00241622,0.002804521,665500,610.4,5860,7498,1778.4,448.4552846,4663.577236
H05C,40,LLD,Leontodon,Low,1,3,3,NA,NA,NA,NA,24.16666667,168.7364992,98.89552685,-69.84097239,-0.053933416,0.015456115,690600,1602,10318,20820,1041,1043.430657,4034.671533
H05D,56,ALC,Anthox,Low,0,4,4,24.7,6.98,0.2,0.28,34.56666667,107.2494473,-55.40008942,-162.6495367,-0.038247711,-0.010414931,425500,390.4,14148,24940,135.8,230.9664694,1633.530572
H06A,48,RMD,Rumex,Medium,1,3,1,30.95,5.56,1.18,3.77,27.9,200.1008364,-524.4631975,-724.5640339,-0.056701965,0.002082341,933100,1010.4,5928,9862,136.5747336,351.6129032,583.9491184
H06B,48,RMD,Rumex,Medium,1,3,2,NA,NA,NA,NA,3.3,91.80538265,34.53164636,-57.2737363,0.013616197,-0.007140232,813500,1894.6,10440,13404,1215.6,545.5357143,268.75
H06C,7,RMC,Rumex,Medium,0,1,4,26.11,14.47,2.72,0.41,30.06666667,141.6839453,-329.4265844,-471.1105297,0.009276278,0.005382033,348300,383.4,6034,14496,519.4,903.8461538,5849.230769
H06D,64,LMC,Leontodon,Medium,0,4,4,17.18,13.77,8.14,0.2,35.8,62.07097327,-55.97116585,-118.0421391,-0.007461431,-0.010192396,455800,303.6,9618,17774,260.4,605.4054054,2429.954955
H07A,56,ALC,Anthox,Low,0,4,1,46.86,2.41,0.2,0.96,24.6,261.9165491,-474.0151656,-735.9317146,-0.016002504,0.008053524,804500,409.4,4304,9438,678.5607256,1218.803419,2089.74359
H07B,56,ALC,Anthox,Low,0,4,2,NA,NA,NA,NA,16.63333333,542.5399389,-362.7644241,-905.304363,-0.038106043,-0.013690577,545900,684.4,7066,7588,478,339.8720682,1271.855011
H07C,15,DMC,Dactylis,Medium,0,1,4,4.82,23.11,4.11,0.37,36.2,78.31896622,-181.2010607,-259.520027,-0.009066265,-0.001438786,334400,274.8,7530,15838,1038.6,705.3497942,3034.567901
H07D,72,DLD,Dactylis,Low,1,4,4,0,44.01,0.06,0,31.6,94.63758356,-146.3630364,-241.00062,0.004533764,-0.002899941,384300,369.8,9958,15502,528.8,615.1574803,3834.84252
H08A,64,LMC,Leontodon,Medium,0,4,1,23.99,6.85,2.21,2.73,27.1,326.8371537,-297.8259956,-624.6631493,-0.02420108,-0.013765524,908800,744.6,5644,7794,603.8808674,1294.217207,837.8943087
H08B,64,LMC,Leontodon,Medium,0,4,2,NA,NA,NA,NA,19.46666667,445.7093752,38.24750447,-407.4618707,-0.037729951,0.006196311,589800,1338.8,11850,13046,595.2,610.9725686,1278.553616
H08C,48,RMD,Rumex,Medium,1,3,3,NA,NA,NA,NA,31.53333333,389.9038943,-53.8621752,-443.7660695,-0.032446371,0.017759139,1103600,3712,17134,26520,821.8,641.9753086,2301.234568
H09A,72,DLD,Dactylis,Low,1,4,1,9.22,20.54,0.21,2.21,26.43333333,142.7572372,-306.4232369,-449.1804741,-0.021095314,0.010446919,702700,450.2,3214,4642,757.8243742,1354.141104,1429.000947
H09B,72,DLD,Dactylis,Low,1,4,2,NA,NA,NA,NA,3.566666667,42.70869788,51.91161813,9.202920254,0.002124572,0.005283796,603200,412,4396,6560,1193.8,446.6666667,3200.40404
H09C,56,ALC,Anthox,Low,0,4,3,NA,NA,NA,NA,36.06666667,392.5586344,-235.9322472,-628.4908816,-0.029408312,0.008904786,751400,395,11954,20240,1073.8,396.0687961,3750.859951
H10C,64,LMC,Leontodon,Medium,0,4,3,NA,NA,NA,NA,33.66666667,519.1611132,-282.8428298,-802.003943,-0.023826667,6.77E-05,863000,545.2,12430,22240,478.2,382.1510297,517.1624714
H11C,72,DLD,Dactylis,Low,1,4,3,NA,NA,NA,NA,30,643.0013532,-67.55325028,-710.5546034,-0.028352302,0.012235663,708100,1500.4,7206,14422,472,684.4444444,4614.603175
