"","taxonomy"
"OTU4582","k__Fungi"
"OTU4583","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales"
"OTU4584","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Diversisporales; f__Diversisporaceae"
"OTU4585","k__Fungi"
"OTU4586","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Psathyrellaceae; g__Coprinopsis"
"OTU4587","k__Fungi"
"OTU4104","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Agaricaceae; g__Lepiota"
"OTU3733","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__unidentified; f__unidentified; g__unidentified; s__Agaricomycetes_sp_SH467304.07FU"
"OTU4106","k__Fungi; p__Basidiomycota; c__Microbotryomycetes"
"OTU6568","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Cladorrhinum; s__Cladorrhinum_phialophoroides_SH192700.07FU"
"OTU6569","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__unidentified; g__unidentified; s__Chaetothyriales_sp_SH206093.07FU"
"OTU5181","k__Fungi; p__Ascomycota; c__Sordariomycetes"
"OTU5180","k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Incertae_sedis; g__Tremella; s__Tremella_sp_SH025367.07FU"
"OTU5187","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus"
"OTU5186","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales"
"OTU5185","k__Fungi"
"OTU5184","k__Fungi"
"OTU6560","k__Fungi"
"OTU3736","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Psathyrellaceae; g__Coprinopsis; s__Coprinopsis_acuminata_SH219002.07FU"
"OTU5189","k__Fungi; p__Ascomycota; c__Sordariomycetes"
"OTU6563","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Coniochaetales; f__Coniochaetaceae"
"OTU6564","k__Fungi; p__Ascomycota"
"OTU6565","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Leptosphaeriaceae; g__Leptosphaeria"
"OTU6566","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales"
"OTU6567","k__Fungi; p__Ascomycota"
"OTU4632","k__Fungi"
"OTU4633","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales; f__Sebacinaceae; g__unidentified; s__Sebacinaceae_sp_SH022370.07FU"
"OTU4630","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Mycenaceae; g__Mycena; s__Mycena_maurella_SH178370.07FU"
"OTU4631","k__Fungi"
"OTU4636","k__Fungi"
"OTU4637","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__unidentified; s__Herpotrichiellaceae_sp_SH485049.07FU"
"OTU4634","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Entolomataceae; g__Clitopilus; s__Clitopilus_sp_SH190262.07FU"
"OTU4635","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__unidentified; f__unidentified; g__unidentified; s__Agaricomycetes_sp_SH013384.07FU"
"OTU4638","k__Fungi"
"OTU4639","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Psathyrellaceae; g__Lacrymaria; s__Lacrymaria_lacrymabunda_SH221387.07FU"
"OTU4009","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Entolomataceae; g__Entoloma"
"OTU4008","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Entolomataceae; g__Entoloma"
"OTU4559","k__Fungi; p__Basidiomycota"
"OTU2923","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Claroideoglomeraceae; g__Claroideoglomus"
"OTU4005","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales"
"OTU4556","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Atheliales; f__Atheliaceae; g__Tylospora; s__Tylospora_asterophora_SH197766.07FU"
"OTU4555","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Bolbitiaceae; g__Conocybe; s__Conocybe_pilosella_SH220675.07FU"
"OTU4006","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Trechisporales; f__Hydnodontaceae"
"OTU2928","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Ceratobasidiaceae"
"OTU2929","k__Fungi"
"OTU4003","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Psathyrellaceae; g__Coprinellus; s__Coprinellus_disseminatus_SH220359.07FU"
"OTU4550","k__Fungi"
"OTU1226","k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__unidentified; g__unidentified; s__Mortierellales_sp_SH465267.07FU"
"OTU5029","k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales"
"OTU1037","k__Fungi"
"OTU1036","k__Fungi"
"OTU1035","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi_sp_SH029303.07FU"
"OTU1034","k__Fungi"
"OTU1033","k__Fungi"
"OTU1032","k__Fungi"
"OTU1031","k__Fungi; p__Basidiomycota; c__Ustilaginomycetes; o__Ustilaginales; f__Ustilaginaceae; g__unidentified; s__Ustilaginaceae_sp_SH175967.07FU"
"OTU1030","k__Protista; p__Cercozoa; c__unidentified; o__unidentified; f__unidentified; g__unidentified"
"OTU1039","k__Fungi"
"OTU1038","k__Fungi"
"OTU2138","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Entolomataceae; g__Entoloma"
"OTU5868","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__Penicillium_nodositatum_SH200570.07FU"
"OTU5869","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae"
"OTU5864","k__Fungi"
"OTU5865","k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Trichosporon"
"OTU5866","k__Fungi; p__Ascomycota"
"OTU5867","k__Fungi; p__Ascomycota"
"OTU5860","k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Ascomycota_sp_SH195508.07FU"
"OTU5861","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__Sordariomycetes_sp_SH469278.07FU"
"OTU5862","k__Fungi; p__Ascomycota"
"OTU5863","k__Fungi"
"OTU6988","k__Fungi"
"OTU6989","k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Ascomycota_sp_SH217880.07FU"
"OTU1228","k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Kickxellales; f__Kickxellaceae; g__Ramicandelaber; s__Ramicandelaber_sp_SH006496.07FU"
"OTU6982","k__Fungi; p__Ascomycota"
"OTU6983","k__Fungi; p__Ascomycota"
"OTU6980","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales"
"OTU6981","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae"
"OTU6986","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales"
"OTU6987","k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__unidentified; g__unidentified; s__Helotiales_sp_SH203614.07FU"
"OTU6984","k__Fungi; p__Ascomycota; c__Dothideomycetes"
"OTU6985","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales"
"OTU7011","k__Fungi"
"OTU120","k__Fungi"
"OTU7453","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Hysteriales; f__Gloniaceae; g__Cenococcum"
"OTU2172","k__Fungi"
"OTU7451","k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__unidentified; g__unidentified; s__Helotiales_sp_SH013008.07FU"
"OTU2170","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Funneliformis"
"OTU7457","k__Fungi; p__Ascomycota"
"OTU2176","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi_sp_SH475263.07FU"
"OTU7455","k__Fungi; p__Ascomycota; c__Leotiomycetes"
"OTU2174","k__Fungi; p__Chytridiomycota; c__Chytridiomycetes; o__Spizellomycetales; f__Spizellomycetaceae; g__Powellomyces; s__Powellomyces_sp_SH006448.07FU"
"OTU7459","k__Fungi; p__Ascomycota"
"OTU7458","k__Fungi; p__Ascomycota"
"OTU6368","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__Pleosporales_sp_SH204051.07FU"
"OTU6369","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Xylariaceae; g__Anthostomella; s__Anthostomella_leucospermi_SH013820.07FU"
"OTU6366","k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Ascomycota_sp_SH008131.07FU"
"OTU6367","k__Fungi; p__Ascomycota"
"OTU6364","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales"
"OTU6365","k__Fungi; p__Ascomycota"
"OTU6362","k__Fungi; p__Basidiomycota"
"OTU6363","k__Fungi; p__Ascomycota"
"OTU6360","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales"
"OTU6361","k__Fungi; p__Ascomycota; c__Leotiomycetes; o__unidentified; f__unidentified; g__unidentified"
"OTU7016","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Coniochaetales; f__Coniochaetaceae; g__Lecythophora; s__Lecythophora_sp_SH191373.07FU"
"OTU358","k__Fungi"
"OTU359","k__Fungi"
"OTU428","k__Fungi"
"OTU429","k__Fungi"
"OTU354","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi_sp_SH471931.07FU"
"OTU427","Unassignable"
"OTU424","k__Fungi"
"OTU425","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi_sp_SH032782.07FU"
"OTU350","k__Fungi"
"OTU351","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi_sp_SH032782.07FU"
"OTU352","k__Fungi"
"OTU353","Unassignable"
"OTU8175","k__Fungi"
"OTU3853","k__Fungi"
"OTU4804","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Microascales; f__Microascaceae; g__Microascus; s__Microascus_brevicaulis_SH193462.07FU"
"OTU4807","k__Fungi"
"OTU4806","k__Fungi"
"OTU4801","k__Fungi; p__Rozellomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Rozellomycota_sp_SH020528.07FU"
"OTU4800","k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Ascomycota_sp_SH214904.07FU"
"OTU3855","k__Fungi"
"OTU4802","k__Fungi; p__Basidiomycota"
"OTU3859","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi_sp_SH206997.07FU"
"OTU3858","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Porotheleaceae; g__Porotheleum; s__Porotheleum_sp_SH023159.07FU"
"OTU4809","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Microascales; f__Microascaceae; g__unidentified; s__Microascaceae_sp_SH193465.07FU"
"OTU4808","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales"
"OTU6779","k__Fungi; p__Ascomycota"
"OTU6778","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__unidentified; s__Lasiosphaeriaceae_sp_SH018051.07FU"
"OTU6775","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__Pleosporales_sp_SH199605.07FU"
"OTU6774","k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Ascomycota_sp_SH195297.07FU"
"OTU6777","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Podospora"
"OTU6776","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__unidentified; s__Lasiosphaeriaceae_sp_SH181895.07FU"
"OTU6771","k__Fungi"
"OTU6770","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae"
"OTU6773","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Phaeosphaeriaceae; g__Phaeosphaeria; s__Phaeosphaeria_oreochloae_SH216164.07FU"
"OTU6772","k__Fungi; p__Ascomycota"
"OTU2094","k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae"
"OTU2095","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Claroideoglomeraceae; g__unidentified; s__Claroideoglomeraceae_sp_SH206039.07FU"
"OTU2096","k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Endogonales"
"OTU7577","k__Fungi; p__Ascomycota"
"OTU7570","k__Fungi"
"OTU2091","k__Fungi; p__Basidiomycota; c__Agaricostilbomycetes; o__Agaricostilbales; f__Chionosphaeraceae; g__Kurtzmanomyces; s__Kurtzmanomyces_sp_SH016001.07FU"
"OTU7572","k__Fungi; p__Ascomycota"
"OTU7573","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__unidentified; g__unidentified"
"OTU7578","k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales"
"OTU2099","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified"
"OTU5518","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__Sordariomycetes_sp_SH211308.07FU"
"OTU5519","k__Fungi; p__Ascomycota; c__Eurotiomycetes"
"OTU5048","k__Fungi; p__Ascomycota"
"OTU5049","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi_sp_SH194822.07FU"
"OTU5046","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__unidentified; s__Glomeraceae_sp_SH001357.07FU"
"OTU5047","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__unidentified"
"OTU5516","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales"
"OTU5517","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Onygenales; f__Arthrodermataceae; g__Trichophyton; s__Trichophyton_ajelloi_SH185838.07FU"
"OTU5042","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Hymenochaetales; f__Schizoporaceae; g__Hyphodontia; s__Hyphodontia_radula_SH221533.07FU"
"OTU5511","k__Fungi; p__Ascomycota"
"OTU5040","k__Fungi; p__Ascomycota; c__Sordariomycetes"
"OTU5513","k__Fungi; p__Ascomycota; c__Eurotiomycetes"
"OTU1208","k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales"
"OTU1209","k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_minutissima_SH196780.07FU"
"OTU1204","k__Fungi"
"OTU1205","k__Fungi"
"OTU1206","k__Fungi"
"OTU1207","k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Kickxellales; f__Kickxellaceae; g__Ramicandelaber; s__Ramicandelaber_sp_SH006496.07FU"
"OTU1200","k__Fungi"
"OTU1201","k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Kickxellales; f__Kickxellaceae; g__Ramicandelaber; s__Ramicandelaber_sp_SH472379.07FU"
"OTU1202","k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_globulifera_SH185972.07FU"
"OTU1203","k__Fungi"
"OTU2898","k__Fungi; p__Basidiomycota; c__Wallemiomycetes; o__Geminibasidiales; f__Geminibasidiaceae; g__Geminibasidium; s__Geminibasidium_sp_SH208302.07FU"
"OTU2899","k__Fungi"
"OTU2894","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Hydnaceae; g__Sistotrema; s__Sistotrema_sp_SH015790.07FU"
"OTU2895","k__Fungi; p__Chytridiomycota; c__Chytridiomycetes; o__Spizellomycetales; f__Spizellomycetaceae; g__Spizellomyces"
"OTU2896","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hygrophoraceae; g__Cuphophyllus; s__Cuphophyllus_colemannianus_SH174975.07FU"
"OTU2897","k__Fungi"
"OTU2890","k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Sporidiobolales; f__unidentified; g__unidentified; s__Sporidiobolales_sp_SH007274.07FU"
"OTU2891","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales"
"OTU2892","k__Fungi"
"OTU2893","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Claroideoglomeraceae; g__Claroideoglomus; s__Claroideoglomus_sp_SH021559.07FU"
"OTU8069","k__Fungi"
"OTU8068","k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Incertae_sedis; g__Dioszegia; s__Dioszegia_hungarica_SH182099.07FU"
"OTU8063","k__Fungi; p__Ascomycota; c__Archaeorhizomycetes; o__Archaeorhizomycetales; f__Archaeorhizomycetaceae; g__Archaeorhizomyces"
"OTU8062","k__Fungi; p__Ascomycota; c__Archaeorhizomycetes; o__Archaeorhizomycetales; f__Archaeorhizomycetaceae; g__Archaeorhizomyces; s__Archaeorhizomyces_sp_SH460794.07FU"
"OTU8061","k__Fungi; p__Ascomycota"
"OTU8060","k__Fungi"
"OTU8067","k__Fungi"
"OTU8066","k__Fungi; p__Ascomycota"
"OTU8065","k__Fungi"
"OTU8064","k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Incertae_sedis; g__Dioszegia"
"OTU7916","k__Fungi; p__Ascomycota; c__Dothideomycetes"
"OTU7917","k__Fungi; p__Ascomycota; c__Leotiomycetes"
"OTU7914","k__Fungi"
"OTU7915","k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Incertae_sedis; g__Cryptococcus; s__Cryptococcus_victoriae_SH181628.07FU"
"OTU7912","k__Fungi; p__Ascomycota"
"OTU7913","k__Fungi"
"OTU7910","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Incertae_sedis"
"OTU7911","k__Fungi"
"OTU7918","k__Fungi; p__Rozellomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified"
"OTU7919","k__Fungi"
"OTU1734","Unassignable"
"OTU1735","k__Fungi"
"OTU3075","k__Fungi"
"OTU3074","k__Fungi"
"OTU3077","k__Fungi"
"OTU3076","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi_sp_SH484678.07FU"
"OTU3071","k__Fungi"
"OTU3070","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Clavariaceae"
"OTU3073","k__Fungi; p__Basidiomycota"
"OTU3072","k__Fungi; p__Basidiomycota; c__Agaricomycetes"
"OTU3079","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hygrophoraceae; g__Hygrocybe"
"OTU3078","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Archaeosporales; f__Archaeosporaceae; g__unidentified; s__Archaeosporaceae_sp_SH025843.07FU"
"OTU835","k__Fungi"
"OTU834","k__Fungi"
"OTU3118","k__Fungi"
"OTU3119","k__Fungi"
"OTU3112","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales"
"OTU3113","k__Fungi"
"OTU3110","k__Fungi"
"OTU3111","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Claroideoglomeraceae; g__Claroideoglomus; s__Claroideoglomus_sp_SH021560.07FU"
"OTU3116","k__Fungi"
"OTU3117","k__Fungi; p__Basidiomycota; c__Agaricomycetes"
"OTU3114","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Thelephorales; f__Thelephoraceae"
"OTU3115","k__Fungi; p__Basidiomycota"
"OTU2461","k__Fungi"
"OTU2460","k__Fungi"
"OTU2463","k__Fungi"
"OTU2462","k__Fungi"
"OTU7105","k__Fungi; p__Ascomycota"
"OTU7104","k__Fungi"
"OTU2304","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Claroideoglomeraceae; g__unidentified; s__Claroideoglomeraceae_sp_SH206039.07FU"
"OTU2305","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__unidentified"
"OTU2306","k__Fungi"
"OTU2307","k__Fungi"
"OTU2300","k__Fungi"
"OTU2301","k__Fungi"
"OTU2302","k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Incertae_sedis; g__Cryptococcus; s__Cryptococcus_chernovii_SH197624.07FU"
"OTU2303","k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_minutissima_SH196780.07FU"
"OTU2466","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__unidentified; f__unidentified; g__unidentified"
"OTU2308","k__Fungi"
"OTU2309","k__Fungi; p__Basidiomycota"
"OTU7109","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales"
"OTU2468","k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella"
"OTU655","k__Fungi"
"OTU654","Unassignable"
"OTU657","k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__unidentified; g__unidentified; s__Mortierellales_sp_SH465267.07FU"
"OTU656","k__Fungi"
"OTU651","k__Fungi"
"OTU650","k__Fungi"
"OTU653","k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__unidentified; g__unidentified; s__Mortierellales_sp_SH465267.07FU"
"OTU652","k__Fungi"
"OTU659","k__Fungi"
"OTU658","k__Fungi"
"OTU2249","k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Endogonales"
"OTU2248","k__Fungi"
"OTU7361","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Chaetosphaeriales"
"OTU2240","k__Fungi; p__Chytridiomycota; c__Chytridiomycetes; o__unidentified; f__unidentified; g__unidentified; s__Chytridiomycetes_sp_SH223446.07FU"
"OTU2243","k__Fungi; p__Chytridiomycota"
"OTU2242","k__Fungi"
"OTU2245","k__Fungi"
"OTU2244","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Clavariaceae"
"OTU2247","k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales"
"OTU7366","k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Incertae_sedis; g__Dactylaria; s__Dactylaria_dimorphospora_SH025283.07FU"
"OTU5293","k__Fungi"
"OTU5740","k__Fungi"
"OTU978","k__Fungi"
"OTU6407","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__unidentified; g__unidentified; s__Hypocreales_sp_SH024374.07FU"
"OTU5743","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__Sordariomycetes_sp_SH190975.07FU"
"OTU979","k__Fungi"
"OTU7970","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Phialophora; s__Phialophora_hyalina_SH203755.07FU"
"OTU5290","k__Fungi; p__Rozellomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified"
"OTU208","Unassignable"
"OTU8044","k__Fungi"
"OTU5745","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Microascales"
"OTU209","k__Fungi"
"OTU8047","k__Fungi"
"OTU5296","k__Fungi; p__Basidiomycota"
"OTU5213","k__Fungi"
"OTU5212","k__Fungi"
"OTU5211","k__Fungi"
"OTU7973","k__Fungi"
"OTU5217","k__Fungi; p__Ascomycota"
"OTU5747","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__unidentified; g__unidentified; s__Chaetothyriales_sp_SH177468.07FU"
"OTU5215","k__Fungi"
"OTU5214","k__Fungi; p__Ascomycota; c__Geoglossomycetes; o__Geoglossales; f__unidentified; g__unidentified; s__Geoglossales_sp_SH456426.07FU"
"OTU6090","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales"
"OTU6091","k__Fungi"
"OTU5219","k__Fungi"
"OTU6093","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi_sp_SH459870.07FU"
"OTU6094","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Incertae_sedis; f__Eremomycetaceae; g__Arthrographis"
"OTU6095","k__Fungi; p__Ascomycota"
"OTU6096","k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__Pseudaleuria; s__Pseudaleuria_sp_SH220511.07FU"
"OTU8040","k__Protista; p__Cercozoa; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Cercozoa_sp_SH473065.07FU"
"OTU2937","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Claroideoglomeraceae; g__Claroideoglomus"
"OTU2936","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales"
"OTU4032","k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Sporidiobolales; f__Incertae_sedis; g__Rhodotorula; s__Rhodotorula_sp_SH021490.07FU"
"OTU4033","k__Fungi; p__Basidiomycota"
"OTU4034","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales"
"OTU4035","k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Sporidiobolales"
"OTU4036","k__Fungi; p__Basidiomycota"
"OTU2930","k__Fungi; p__Chytridiomycota; c__Chytridiomycetes; o__Spizellomycetales; f__Spizellomycetaceae; g__Spizellomyces; s__Spizellomyces_dolichospermus_SH183868.07FU"
"OTU4038","k__Fungi"
"OTU970","k__Fungi"
"OTU8042","k__Fungi"
"OTU2939","k__Fungi"
"OTU2938","k__Fungi; p__Basidiomycota; c__Agaricomycetes"
"OTU200","k__Fungi"
"OTU8134","k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Incertae_sedis"
"OTU6542","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__unidentified; g__unidentified; s__Hypocreales_sp_SH205441.07FU"
"OTU6543","k__Fungi; p__Ascomycota"
"OTU6540","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Xylariaceae"
"OTU6541","k__Fungi; p__Ascomycota"
"OTU6546","k__Fungi; p__Ascomycota; c__Eurotiomycetes"
"OTU6547","k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Ascomycota_sp_SH212863.07FU"
"OTU6544","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae"
"OTU6545","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales"
